artist,ID,genre,Location,Start,End,Hotttnesss,Discovery,Familiarity
The Black Eyed Peas,ARTDQRC1187FB4EFD4,pop,"Los Angeles, CA",2015,9999,0.775587,0.770348,0.3883464145848532
Mariah Carey,ARKSZW81187B9B695D,pop,"New York, NY",1988,9999,0.824723,0.81633,0.3583565101066123
Miley Cyrus,ARYAVBS1187FB5B46C,pop,"Nashville, TN",2001,9999,0.809489,0.834548,0.3836671347883709
Hilary Duff,ARWS1TU1187B9B2560,pop,"los angeles, ca",2001,9999,0.711192,0.685104,0.3999580842577472
a-ha,ARZYT8C1187FB4D57F,pop,"Oslo, Oslo Fylke, NO",2015,9999,0.714935,0.799251,0.462988967969369
Idina Menzel,AR83LT51187FB3E073,pop,"New York, NY",1991,9999,0.626398,0.800556,0.5475295805518843
Kylie Minogue,AR8V1X71187B9B919B,pop,"Melbourne, Australia",1987,9999,0.78299,0.814088,0.40265302266461367
Cory Lee,AR8ANAD1187B9AF825,pop,"Toronto, Ontario, CA",2004,9999,0.347213,0.461674,0.4419285548529795
Blake Lewis,ARV3YJQ1187FB4FD58,pop,"Bothell, WA, US",1998,9999,0.496845,0.553763,0.463138311235957
Geri Halliwell,ARUSL5J1187B9A16EA,pop,"Watford, England, GB",1994,9999,0.431007,0.519403,0.4765026300064638
The Kingston Trio,ARMIRFN1187FB3BD09,pop,"Palo Alto, CA, US",2015,9999,0.567203,0.494978,0.37272797013814785
Billy Fury,ARHR10C1187FB5B6DB,pop,"Liverpool, ",1958,1983,0.540894,0.508487,0.39861357867818636
Ricchi e Poveri,AR212K21187FB45522,pop,Italy,1967,9999,0.413754,0.535275,0.502840561415803
Marion Raven,ARGSA4F1187B9BA0C1,pop,"Lørenskog, Norway",1993,9999,0.431258,0.536564,0.49207592597085464
Royal Philharmonic Orchestra,ARRKHGI11F4C83B639,pop,"London, England, GB",1946,9999,0.566887,0.565066,0.42571462280181016
Real McCoy,ARGD80O1187FB3F718,pop,"Berlin, Germany",1988,9999,0.451768,0.592185,0.5278712327841583
Randy Newman,ARY5CZT1187B98C902,pop,"Los Angeles, CA",1961,9999,0.681255,0.602408,0.3732103983758483
Leona Lewis,AR7R9CZ1187FB49EC2,pop,"London, UK",2001,9999,0.714566,0.830399,0.48140222802387184
Aaron Carter,AR6ITBI1187B98CBBC,pop,"Tampa, FL, US ",1997,9999,0.536015,0.596157,0.4707727429419527
Jay Sean,AR9B7FG1187B9A5C96,pop,"London, UK",1999,9999,0.646093,0.59712,0.39464700380128126
Ashley Tisdale,ARW8LQ71187B99BFC6,pop,"Deal, NJ",1988,9999,0.644784,0.592404,0.39243798486035697
Neil Sedaka,ARUE3AK1187B9AC923,pop,"Brooklyn, NY",1957,9999,0.615995,0.619322,0.43109279357281727
Bonnie Tyler,AR5MKYH1187B9B586D,pop,"Skewen, Wales, GB",1975,9999,0.633493,0.603484,0.4077454859260418
Harry Nilsson,ARVLH5W1187FB58B7F,pop,"Brooklyn, New York, NY, US",1958,1994,0.676365,0.591387,0.36980484466153096
Melanie C,AR0VAZ71187FB5AAD6,pop,"Whiston, Merseyside, England, United Kingdom",1994,9999,0.559992,0.627398,0.4777431978994386
Delta Goodrem,ARFM0TP1187B9A0745,pop,"Sydney, Australia",1993,9999,0.596327,0.795293,0.5718184901483911
Taio Cruz,AREBTNS1187FB3CE6D,pop,"London, UK",2006,9999,0.617137,0.693188,0.4815857154757991
Robyn,AR65M2S1187B9A9C40,pop,"Stockholm, Sweden",1989,9999,0.715723,0.636173,0.36791598927053026
Spice Girls,AR7VWZ11187B98DA42,pop,London,2007,2008,0.69745,0.632906,0.3799146847095795
Olivia Newton-John,AR0BGM11187B9B09BA,pop,"Melbourne, Australia",1963,9999,0.6607,0.627728,0.4041200538061608
McFly,AR9NG3Y1187B9895EE,pop,"London, England, GB",2003,2013,0.674986,0.619727,0.38853637305819494
Jessica Simpson,ARN7POH1187B9B301E,pop,"Abilene, TX",1999,9999,0.670209,0.63103,0.3991810565810145
Maria Mena,ARIBTH31187B98F25B,pop,Oslo Norway,2002,9999,0.507989,0.621658,0.5116118760335142
Paula Abdul,AROKXVO1187FB4D0E9,pop,"San Fernando, CA",1978,9999,0.637006,0.615582,0.41339262626977413
ABBA,ART50HO1187FB4D0ED,pop,"Stockholm, Sweden ",1972,1982,0.778932,0.756099,0.377922097264409
